Party,TwitterHandle
Democrat,RepDarrenSoto
Democrat,RepJackyRosen
Democrat,RepAlLawsonJr
Democrat,RepEspaillat
Democrat,RepBRochester
Democrat,RepBarragan
Democrat,RepTomSuozzi
Democrat,RepRoKhanna
Democrat,RepKihuen
Democrat,RepMcEachin
Democrat,RepCarbajal
Democrat,RepCharlieCrist
Democrat,RepLouCorrea
Democrat,RepJayapal
Democrat,RepJoshG
Democrat,CongressmanRaja
Democrat,RepOHalleran
Democrat,RepRaskin
Democrat,RepValDemings
Democrat,RepJimmyPanetta
Democrat,RepStephMurphy
Democrat,DonaldNorcross
Democrat,RepTedLieu
Democrat,RepPeteAguilar
Democrat,RepMarkTakai
Democrat,RepKathleenRice
Democrat,RepDebDingell
Democrat,RepBonnie
Democrat,RepDeSaulnier
Democrat,RepRubenGallego
Democrat,RepBradAshford
Democrat,RepDonBeyer
Democrat,RepLawrence
Democrat,StaceyPlaskett
Democrat,RepHastingsFL
Democrat,RepKClark
Democrat,USRepKCastor
Democrat,RepBeatty
Democrat,PeterWelch
Democrat,AnthonyBrownMD4
Democrat,RepRobinKelly
Democrat,RepTimWalz
Democrat,RepJuanVargas
Democrat,JuliaBrownley26
Democrat,RepCardenas
Democrat,repmarkpocan
Democrat,RepDonaldPayne
Democrat,RepScottPeters
Democrat,RepBetoORourke
Democrat,RepCheri
Democrat,CongressmanRuiz
Democrat,RepFilemonVela
Democrat,RepSinema
Democrat,RepBillFoster
Democrat,RepLoisFrankel
Democrat,RepVeasey
Democrat,RepSeanMaloney
Democrat,RepSchneider
Democrat,RepHuffman
Democrat,RepDennyHeck
Democrat,TulsiPress
Democrat,RepLujanGrisham
Democrat,RepEsty
Democrat,RepDerekKilmer
Democrat,RepAnnieKuster
Democrat,RepJoeKennedy
Democrat,RepLowenthal
Democrat,USRepRickNolan
Democrat,RepGraceMeng
Democrat,RepDanKildee
Democrat,RepMarkTakano
Democrat,RepLipinski
Democrat,RepDelBene
Democrat,RepBera
Democrat,RepSwalwell
Democrat,RepJohnDelaney
Democrat,RepDannyDavis
Democrat,RepCummings
Democrat,RepCartwright
Democrat,LacyClayMO1
Democrat,RepMarcyKaptur
Democrat,RepBonamici
Democrat,BettyMcCollum04
Democrat,daveloebsack
Democrat,RepRoybalAllard
Democrat,RepJeffries
Democrat,RepJaredPolis
Democrat,RepCicilline
Democrat,RepRichardNeal
Democrat,RepSusanDavis
Democrat,GKButterfield
Democrat,RepRickLarsen
Democrat,RepMcNerney
Democrat,RepJohnYarmuth
Democrat,RepTerriSewell
Democrat,RepSarbanes
Democrat,SupJaniceHahn
Democrat,RepLindaSanchez
Democrat,RepStephenLynch
Democrat,Call_Me_Dutch
Democrat,RepBobbyRush
Democrat,RepThompson
